time,frequency
6.69011,28701.9
6.69061,28677.3
6.69111,28580.2
6.69161,28615.6
6.69211,28510.2
6.69261,28509.5
6.69312,28473.9
6.69362,28439.7
6.69412,28395
6.69462,28278.7
6.69512,28275.2
6.69563,28131.6
6.69613,28113.1
6.69663,27976
6.69713,28006.8
6.69763,27935.1
6.69813,27909.2
6.69864,27866.8
6.69914,27913.3
6.69964,27981.6
6.70014,27887.6
6.70064,27861.3
6.70114,27620.8
6.70165,27936.5
6.70215,28005.4
6.70265,27905.7
6.70315,28007.1
6.70365,27989.1
6.70416,27850.4
6.70466,28022.8
6.70516,27952
6.70566,27866
6.70616,27715.2
6.70666,27806.5
6.70717,27730
6.70767,27661.2
6.70817,27661.5
6.70867,18955.4
6.70917,18827
6.70967,18811.5
6.71018,18694.4
6.71068,18770.5
6.71118,0
6.71168,0
6.71218,0
6.71269,0
6.71319,0
6.71369,0
6.71419,0
6.71469,18605.6
6.71519,18580
6.7157,18600.4
6.7162,18540.1
6.7167,18634.4
6.7172,18553.3
6.7177,18491.7
6.73727,0
6.73777,0
6.73828,0
6.73878,0
6.73928,0
6.73978,0
6.74028,0
6.74078,0
6.74129,0
6.74179,35904.7
6.74229,35928
6.74279,35774.2
6.74329,35731
6.74379,35738.9
6.7443,35816
6.7448,35858.6
6.7453,35871.9
6.7458,35856.7
6.7463,35906.6
6.74681,36103.5
6.74731,0
6.74781,37365.3
6.74831,37827.3
6.74881,37930.1
6.74931,37976.2
6.74982,37897.2
6.75032,37693.7
6.75082,37457.5
6.75132,37350.8
6.75182,37156.7
6.75232,37458.5
6.75283,37543.2
6.75333,37579.3
6.75383,37476.2
6.75433,37384.4
6.75483,37127
6.75534,37092.4
6.75584,36893.6
6.75634,36656.9
6.75684,0
6.75734,24444.3
6.75784,23391.4
6.75835,22965.4
6.75885,22635.4
6.75935,22377.1
6.75985,22159.2
6.76035,22114.7
6.76085,21782.8
6.76136,21514.5
6.76186,20960.1
6.76236,20611.3
6.76286,20341.9
6.76336,20332.9
6.76386,0
6.76437,19847.7
6.76487,19765.7
6.76537,19580.3
6.76587,19425.2
6.76637,0
6.76688,0
6.76738,0
6.76788,0
6.76838,0
6.76888,0
6.76938,16464.3
6.76989,16120.8
6.77039,15856.8
6.77089,15733.4
6.77139,15489
6.77189,15139
6.77239,14934.6
6.7729,14863.3
6.7734,14822.3
6.7739,14561.6
6.7744,14433.3
6.7749,14348.5
6.77541,14342.2
6.77591,14290.1
6.77641,14292.8
6.77691,14130.9
6.77741,14112
6.77791,13986.9
6.77842,13879.4
6.77892,13810.5
6.77942,13725.9
6.77992,13623.5
6.78042,13629.4
6.78092,13482.2
6.78143,13475.3
6.78193,13332.4
6.78243,13242.8
6.78293,13185.5
6.78343,13034.2
6.78394,13032.7
6.78444,12952.8
6.78494,12979.1
6.78544,12941.5
6.78594,12974.5
6.78644,12984
6.78695,12737
6.78745,12680.2
6.78795,12563.8
6.78845,12385.2
6.78895,12336.3
6.78945,12324.5
6.78996,12174.7
6.79046,12188
6.79096,12172.1
6.79146,12157.4
6.79196,12088.5
6.79247,12071.1
6.79297,11861.2
6.79347,11644.7
6.79397,11373.7
6.79447,11434.5
6.79497,11158.9
6.79548,11009.4
6.79598,10820.4
6.79648,10717
6.79698,10362.7
6.79748,10234.4
6.79798,10116.9
6.79849,10103.8
6.79899,10099.8
6.79949,10074.7
6.79999,10144.4
6.80049,10116.2
6.801,10124.9
6.8015,10127.6
6.802,10263.9
6.8025,10303.6
6.803,10309
6.8035,28876.3
6.80401,28890.9
6.80451,28764.8
6.80501,28667.3
6.80551,28573.1
6.80601,28567.7
6.80651,28553.3
6.80702,28456.6
6.80752,28333.8
6.80802,28406.7
6.80852,28314.5
6.80902,28219.7
6.80953,28245.2
6.81003,28139.7
6.81053,28083.2
6.81103,27967.6
6.81153,27990
6.81203,27903.3
6.81254,27834.6
6.81304,27897.9
6.81354,27925.2
6.81404,28023.1
6.81454,27913.3
6.81504,27885.1
6.81555,27679.6
6.81605,27867.9
6.81655,28052.2
6.81705,28007.8
6.81755,28011.1
6.81806,27960.3
6.81856,27933.6
6.81906,28038.1
6.81956,27925.9
6.82006,27975.7
6.82056,27873.2
6.82107,27951.4
6.82157,27912.7
6.82207,27881.5
6.82257,18655
6.82307,18933.4
6.82357,18958.5
6.82408,19011
6.82458,0
6.82508,0
6.82558,17569
6.82608,17618.3
6.82659,17589.1
6.82709,18164
6.82759,18516.7
6.82809,18536.9
6.82859,18441.9
6.82909,18430
6.8296,18424.7
6.8301,18498.8
6.8306,18468.6
6.8311,18423.4
6.8316,18589.5
6.8321,18439.5
6.85569,0
6.85619,0
6.85669,0
6.85719,0
6.85769,0
6.8582,0
6.8587,0
6.8592,0
6.8597,0
6.8602,0
6.8607,0
6.86121,0
6.86171,0
6.86221,0
6.86271,0
6.86321,0
6.86372,0
6.86422,0
6.86472,0
6.86522,0
6.86572,36802.5
6.86622,37747.5
6.8667299999999996,37869
6.86723,37858.5
6.86773,37850.1
6.86823,37717.5
6.86873,38015
6.86923,38057.8
6.86974,38107.2
6.87024,38134.2
6.87074,38157.7
6.87124,38143.4
6.87174,38102.6
6.87225,36831.1
6.87275,36686.6
6.87325,26875.2
6.87375,26226.2
6.87425,25656.2
6.87475,24686.3
6.87526,24022.5
6.87576,23190.3
6.87626,22945.5
6.87676,22789.8
6.87726,22582.7
6.87776,22278
6.87827,22147.5
6.87877,22025.4
6.87927,21144.3
6.87977,20819.4
6.88027,0
6.88078,0
6.88128,0
6.88178,0
6.88228,0
6.88278,0
6.88328,0
6.88379,0
6.88429,0
6.88479,0
6.88529,33368.9
6.88579,16003.2
6.88629,15899.2
6.8868,15750.4
6.8873,15410.1
6.8878,15181.9
6.8883,15018.5
6.8888,14887.8
6.88931,14813.4
6.88981,14678
6.89031,14505.3
6.89081,14471.2
6.89131,14448.8
6.89181,14379.9
6.89232,14424.1
6.89282,14356.3
6.89332,14215
6.89382,14206.7
6.89432,14113.7
6.89482,14043.9
6.89533,14053.4
6.89583,13967.2
6.89633,13879.3
6.89683,13850.4
6.89733,13801.3
6.89784,13711
6.89834,13679.6
6.89884,13629.8
6.89934,13581.7
6.89984,13653.7
6.90034,13385.1
6.90085,13239.1
6.90135,13168.3
6.90185,13137.2
6.90235,13150.2
6.90285,13020.4
6.90335,13021
6.90386,13033
6.90436,13004.4
6.90486,12926
6.90536,12718.1
6.90586,12524.5
6.90637,12421.5
6.90687,12325.3
6.90737,12335.2
6.90787,12268
6.90837,12202.1
6.90887,12141.5
6.90938,12258.7
6.90988,12097.2
6.91038,12120.7
6.91088,11975.3
6.91138,11708.1
6.91188,11574.9
6.91239,11459.4
6.91289,11439.1
6.91339,11331.6
6.91389,11380.2
6.91439,11114
6.9149,11467.7
6.9154,30038.9
6.9159,29916.1
6.9164,29798.3
6.9169,29734.4
6.9174,29629.9
6.91791,29589.3
6.91841,29491.3
6.91891,29487.8
6.91941,29476
6.91991,29398.1
6.92041,29367.1
6.92092,29271.2
6.92142,29131.2
6.92192,29062.4
